"","date","text","month"
"112","2020-03-29","Coronavirus Update:
☣️️ Total cases: 710,290 (+38243) ☣️️
⚠️ Current cases: 526,006 (+29020) ⚠️
⚰️ Deaths: 33,550 (+2359) ⚰️
🏥 Recovered: 150,734 (+6864) 🏥

Updated every 2 hours
#Coronavirus #COVID19 #COVIDー19
Source: https://t.co/nFY1lZJJ2I","March"
"113","2020-03-29","C’est « y a qu’à et faut qu’on » les invités sur @LCI. Quelle info ! Compliments ! #COVID19france #Covid_19","March"
"114","2020-03-29","Sinds wanneer lopen zwangere vrouwen extra risico om te overlijden? #33wekenzwanger #ongerust #CoronaUpdate #COVID19Belgium #Covid_19 #CoronaLockdown #CoronaCrisis #CoronaPandemie @Maggie_DeBlock @een @VTMNIEUWS @vanranstmarc https://t.co/lvB89M5LR0","March"
"115","2020-03-29","The controversial #French professor, Didier Raoult believes the anti-malaria drug #chloroquine can help beat the #coronavirus, has claimed that a new study he has conducted confirms its ""efficiency"" at combatting the #COVID19.
#StayAtHomeAndStaySafe
https://t.co/By3AoBTGfQ","March"
"116","2020-03-29","Is maar hoe je het bekijkt. #coronavirus https://t.co/WKU5iOCTOV","March"
"117","2020-03-29","FDA Approves Test That Can Detect Coronavirus in Minutes  #Abbott Laboratories won U.S. marketing approval for a diagnostic test for the #coronavirus that can deliver results within minutes. https://t.co/vaMTrWhWsN via @medscape","March"
"118","2020-03-29","#URGENTE
🇲🇽 Se confirman 131 casos positivos para Coronavirus en Mexico, elevando la cifra total de infectados a 848.
#Covid_19","March"
"119","2020-03-29","#Covid_19 #ConfinementJour13 #NousNOublieronsPas https://t.co/5qlQ8RvMgI","March"
"120","2020-03-29","PM says there will be an announcement in coming days on how the govt will support charities #cdnpoli #COVID19 #coronavirus","March"
"121","2020-03-29","#trump que en sus comienzos minimizó los efectos del #COVID19 , hoy acaba de extender el plazo de las medidas tomadas, para evitar mayor avance de la enfermedad, hasta el 30 de abril.. si hasta dentro de 1 mes.","March"
"122","2020-03-29","@NewsJunkyEm #LiberalismIsAMentalDisorder 
#TrudeauLiedPeopleDied 
#COVID19","March"
"123","2020-03-29","""He Maketh Me to Lie down in green pastures...."" Psamls 23

https://t.co/sD6ZlsH5Zm

#God #love #prayer #trust #coronavirus https://t.co/nu5sNoP0GH","March"
"124","2020-03-29","#EnMarche sur la Tête 😡
Le #CanardEnchaine révèle qu'il existait bien un plan écrit noir sur blanc pour faire face à une pandémie de type #coronavirus.
Mais il n'a pas été appliqué !
Merde alors il y aura bien un avant #Covid_19 et un après #COVID19 😏
Vivement la #Libération 🇲🇫 https://t.co/P3rINdkkZn","March"
"125","2020-03-29","#trump #michigan #washington #coronavirus https://t.co/WnyS4D6OUh","March"
"126","2020-03-29","Christ... he has created his own conspiracies. He has literally invented a new set of conspiracies in his precious little head.  Very dangerous spot we are in. #Trump #covid19 #wherearethemasks","March"
"127","2020-03-29","I know there’s a lot going on in the world right now with #Covid_19 but, I really, really, really miss football","March"
"128","2020-03-29","""Meplazumab efficiently improved the recovery of patients with SARS-CoV-2 pneumonia with a favorable safety profile.""
https://t.co/JBk4cZjf5j

#coronavirus #COVID19 #tFv","March"
"129","2020-03-29","#Tedros Adhanom Ghebreyesus (Director – General of the #WorldHealthOrganization – #WHO) – Through his eyes : Types of #Coronavirus, attempts for #treatment. Preparation for the merger of two worlds. Detailed Clairvoyant/Psychic… https://t.co/QH06Gy7rJg https://t.co/ZG6Cq9KT73","March"
"130","2020-03-29","@NGRPresident 
@NGRSenate 
@NCDCgov 
@WHO 
@ProfOsinbajo 
@renoomokri
@realFFK
@NigeriaGov
#HealthCareWorkers 
What are we waiting for if we have the solution here with us? Do we to sweep this under the carpet? We need to hear good news about this as soon as possible.
#COVID19","March"
